title		rating	imdb_rating	metacritic		production		imdb_votes			release_date	runtime	genre			Budget	Box Office Gross
Graceland		NOT RATED	6.7	75		Drafthouse Films		"1,151"			26-Apr-13	84 min	"Crime, Thriller"			20791	0
Zaytoun		N/A	6.6	39		Strand Releasing		"1,373"			20-Sep-13	110 min	"Adventure, Drama, Thriller"			8000000	42286
The Bling Ring		R	5.6	66		A24 Films		"72,476"			21-Jun-13	90 min	"Biography, Crime, Drama"			8000000	5841046
I Declare War		N/A	6	58		Drafthouse Films		"2,475"			6-Jun-14	94 min	"Action, Comedy, Drama"			14928	0
Osthi		N/A	3.5	N/A		N/A		476			8-Dec-11	150 min	Action			240000000	0
The Extraordinary Voyage		NOT RATED	7.3	N/A		N/A		335			8-Dec-11	60 min	Documentary			43748	0
Kid-Thing		N/A	6.4	58		Factory25		386			25-May-13	83 min	Drama			0	0
Electrick Children		R	6.8	60		Phase 4 Films		"4,936"			13-Jul-12	96 min	Drama			0	0
Gimme the Loot		NOT RATED	6.6	81		IFC Films		"2,000"			2-Jan-13	81 min	"Comedy, Crime, Drama"			97768	0
I Used to Be Darker		N/A	5.6	69		Strand Releasing		796			25-Dec-13	89 min	"Drama, Music"			0	21964
"High Tech, Low Life"		NOT RATED	7.2	53		Argot Pictures		179			1-Apr-12	87 min	"Documentary, Drama, History"			3032	0
The Pervert's Guide to Ideology		NOT RATED	7.6	71		Zeitgeist Films		"4,768"			1-Nov-13	136 min	Documentary			66236	0
Holla II		R	6.9	N/A		Rockstone Releasing		72			19-Apr-13	90 min	"Comedy, Horror"			1000000	41537
The Walk		N/A	6.2	N/A		Sony Pictures		40			18-Sep-15	89 min	"Crime, Thriller"			500000	0
Drug War		R	7	86		Variance Films		"7,693"			4-Apr-13	107 min	"Action, Crime, Drama"			100000000	127877
Khiladi 786		NOT RATED	4.4	N/A		Eros International		"5,101"			7-Dec-12	141 min	"Action, Comedy, Drama"			352684	0
Cocktail		NOT RATED	6.2	N/A		Eros Entertainment		"10,895"			13-Jul-12	146 min	"Comedy, Drama, Romance"			7980000	1027121
Finding Mr. Right		N/A	6.4	50		China Lion Film		"1,699"			21-Mar-13	121 min	Comedy			6945	0
Zila Ghaziabad		N/A	3.6	N/A		Showcase Bollywood Ltd		986			22-Feb-13	142 min	"Action, Crime, Thriller"			0	0
Empire State		R	5.2	N/A		The Film Arcade		"16,068"			30-Aug-13	94 min	"Crime, Thriller"			11000000	0
Student of the Year		NOT RATED	5.5	N/A		Eros International		"10,692"			19-Oct-12	146 min	"Comedy, Drama, Romance"			326508	0
Deranged		NOT RATED	6.4	N/A		CJ Entertainment		"1,362"			27-Jul-12	109 min	"Drama, Thriller"			0	0
Nippu		N/A	3.8	N/A		Independent Bollywood		209			2-Feb-12	N/A	"Action, Comedy, Drama"			0	0
Jab Tak Hai Jaan		NOT RATED	6.9	N/A		Yash Raj Films		"45,472"			13-Nov-12	176 min	"Drama, Family, Romance"			7217600	3047539
Caesar Must Die		UNRATED	7.3	77		Adopt Films		"5,228"			2-Mar-12	77 min	Drama			0	0
Yeh Jawaani Hai Deewani		NOT RATED	7	N/A		Eros International		"29,614"			31-May-13	160 min	"Comedy, Drama, Musical"			3827466	0
Son of Sardaar		NOT RATED	3.9	N/A		Eros International		"7,261"			13-Nov-12	141 min	"Action, Comedy, Drama"			300000000	713754
Barbara		PG-13	7.2	86		Adopt Films		"10,225"			8-Mar-12	105 min	Drama			0	0
I Will Follow You Into the Dark		N/A	4.6	17		Epic Pictures Releasing		"1,033"			11-Oct-13	112 min	"Drama, Horror, Romance"			5000000	0
The Kings of Summer		R	7.2	61		CBS Films		"66,828"			23-Aug-13	95 min	"Adventure, Comedy, Drama"			1290312	0
A Patch of Fog		N/A	6.5	N/A		N/A		624			24-Jan-17	92 min	Thriller			0	0
Shahid		NOT RATED	8.3	N/A		UTV		"9,039"			18-Oct-13	129 min	"Biography, Crime, Drama"			1000000	0
English Vinglish		NOT RATED	7.9	N/A		Eros Entertainment		"25,590"			5-Oct-12	134 min	"Comedy, Drama, Family"			1670773	0
36 Saints		R	2.7	19		Active Fox Productions		258			6-Sep-13	81 min	Thriller			0	0
Long Nights Short Mornings		N/A	5.4	N/A		N/A		552			24-Jan-17	100 min	"Drama, Romance"			0	0
Department		N/A	3.3	N/A		UTV Communications		809			18-May-12	141 min	"Action, Crime, Drama"			0	0
Five Dances		N/A	7.2	51		Paladin		"2,045"			4-Oct-13	83 min	"Drama, Music, Romance"			0	0
Landmine Goes Click		N/A	6.2	35		N/A		"4,190"			10-Nov-15	110 min	"Action, Crime, Drama"			1000000	0
Luv Shuv Tey Chicken Khurana		NOT RATED	6.6	N/A		UTV Motion Pictures		"3,013"			2-Nov-12	140 min	Comedy			140035	0
Escape from Tomorrow		NOT RATED	5.2	58		FilmBuff		"7,894"			19-Jul-14	90 min	"Drama, Fantasy, Horror"			169719	0
Shirin Farhad Ki Toh Nikal Padi		N/A	4.3	N/A		Eros Entertainment		922			24-Aug-12	N/A	Romance			0	0
Chaar Din Ki Chandni		N/A	4.2	N/A		Eros Entertainment		334			9-Mar-12	N/A	"Comedy, Romance"			0	0
Jodi Breakers		NOT RATED	3.5	N/A		Yash Raj Films		953			24-Feb-12	127 min	"Comedy, Musical, Romance"			0	0
Hammer of the Gods		R	4.5	44		Magnolia Pictures		"7,248"			30-May-13	99 min	"Action, Adventure, History"			438	0
The Barber		R	5.9	39		Arc Entertainment		"2,139"			27-Mar-15	95 min	Thriller			0	0
Prince Avalanche		R	6.4	73		Magnolia Pictures		"16,713"			19-Sep-13	94 min	"Comedy, Drama"			725000	204951
Desi Romeos		N/A	7.3	N/A		Independent Bollywood		93			15-Jun-12	N/A	N/A			0	0
Jatt & Juliet		N/A	7.6	N/A		Answer Financials		"1,729"			29-Jun-12	140 min	"Comedy, Romance"			35000000	0
Seethamma Vakitlo Sirimalle Chettu		N/A	7.6	N/A		Ficus Pictures		"4,131"			11-Jan-13	159 min	"Comedy, Drama, Family"			0	0
The Outsider		N/A	4.8	23		RLJ Entertainment/Image Entertainment		"2,198"			11-Mar-14	94 min	"Action, Crime, Drama"			4000000	0
Destressed		N/A	8.9	N/A		N/A		41			5-Apr-14	80 min	"Documentary, Biography, Comedy"			200000	0
The Hot Flashes		R	5.1	36		Vertical Entertainment		"1,488"			9-Aug-13	99 min	"Comedy, Sport"			4000000	0
A Teacher		NOT RATED	4.8	47		Oscilloscope Laboratories		"3,585"			6-Sep-13	75 min	"Drama, Romance"			0	0
A Measure of Faith		PG-13	6.8	N/A		Freestyle Releasing		11			19-Oct-12	113 min	Drama			300000	0
Wildlike		NOT RATED	6.7	74		N/A		"3,338"			25-Sep-15	104 min	"Adventure, Drama, Thriller"			0	0
Baadshah		N/A	6.5	N/A		Great India		"3,214"			4-Apr-13	164 min	"Action, Comedy"			450000000	0
Somm		NOT RATED	7	58		IDP/Samuel goldwyn Films		"3,385"			21-Jun-13	94 min	Documentary			170561	0
Stuck in Love		R	7.3	49		Millenium Entertainment		"71,617"			2-May-13	97 min	"Comedy, Drama, Romance"			78950	0
Generation Iron		PG-13	7.1	61		Vlader Company		"6,273"			20-Sep-13	106 min	"Documentary, Drama, Sport"			849521	0
Muppozhudhum Un Karpanaigal		N/A	5.4	N/A		Atmus Entertainment		97			17-Feb-12	140 min	"Action, Romance, Thriller"			0	0
The Obama Effect		PG-13	2	N/A		Arc Entertainment		366			13-Jul-12	85 min	"Comedy, Drama"			10000000	110251
Tattoo Nation		N/A	6.9	N/A		D&E Entertainment		308			4-Apr-13	86 min	"Documentary, History"			0	0
Vanishing Waves		UNRATED	6.1	58		Artsploitation Films		"2,197"			15-Mar-13	124 min	"Romance, Sci-Fi, Thriller"			0	"EU1,175,000"
We Women Warriors		N/A	6.8	65		Independent Pictures		6			N/A	82 min	"Documentary, Drama, News"			0	0
Kai po che!		NOT RATED	7.6	40		UTV Motion Pictures		"21,693"			22-Feb-13	120 min	"Drama, Sport"			1122527	0
Inequality for All		PG	8.1	68		Radius-TWC		"5,757"			24-Apr-15	89 min	Documentary			1205079	0
Best of Luck		N/A	5.6	N/A		PVS Entertainment		289			26-Jul-13	133 min	"Action, Comedy"			1000000	0
From Beneath		N/A	6.1	N/A		Midnight Releasing		"1,812"			10-Aug-12	82 min	Thriller			144123	0
Goliyon Ki Rasleela Ram-Leela		N/A	6.4	N/A		Eros International		"14,239"			15-Nov-13	150 min	"Drama, Musical, Romance"			2674134	0
Dhoni		N/A	6.8	N/A		Movie Blue Sky		434			10-Feb-12	135 min	"Drama, Family"			0	0
Newlyweeds		R	5.9	62		Pase 4 Films		320			18-Sep-13	87 min	"Comedy, Drama"			0	0
Fill the Void		PG	6.8	79		Sony Pictures Classics		"3,125"			18-Oct-12	90 min	"Drama, Romance"			1774639	0
Nuvva Nena		N/A	5.4	N/A		Blue Sky		78			16-Mar-12	N/A	Comedy			0	0
Bad 25		NOT RATED	8	65		ABC		"1,523"			19-Oct-12	131 min	"Documentary, Music"			0	0
Shepard & Dark		N/A	6.2	66		Music Box Films		134			11-Oct-12	92 min	"Documentary, Drama"			9684	0
Sweetwater		R	6.2	38		Arc Entertainment		"4,879"			11-Oct-13	95 min	"Thriller, Western"			7000000	0
Saguni		N/A	4.3	N/A		Dream Warrior Pictures		644			22-Jun-12	148 min	"Action, Comedy, Drama"			250000000	0
Not Safe for Work		NOT RATED	5.8	N/A		Universal Pictures		"3,359"			9-May-14	74 min	Thriller			0	0
Plush		R	5.4	N/A		Millennium Entertainment		"3,154"			15-Oct-13	99 min	"Drama, Music, Thriller"			2843	0
Jism 2		N/A	3	N/A		N/A		"2,825"			3-Aug-12	130 min	"Drama, Thriller"			0	0
Table No. 21		NOT RATED	7.1	N/A		Eros		"8,674"			4-Jan-13	108 min	"Adventure, Thriller"			31658	0
Chashme Baddoor		N/A	5.4	N/A		N/A		"4,324"			5-Apr-13	121 min	"Comedy, Drama"			400000000	0
Grave Encounters 2		NOT RATED	5.2	N/A		Tribeca Films		"18,619"			2-Oct-12	95 min	Horror			0	0
Sadda Haq		N/A	7.5	N/A		OXL Films		397			5-Apr-13	133 min	Action			1500000	0
Occupy Unmasked		NOT RATED	5.2	N/A		Magnolia Pictures		506			21-Sep-12	76 min	Documentary			51787	0
Andre Gregory: Before and After Dinner		N/A	5.9	63		Cinema Guild		64			3-Apr-13	108 min	"Documentary, Biography, Drama"			0	0
Rebel		N/A	4.5	N/A		Cool Flicks		956			28-Sep-12	168 min	"Action, Comedy, Drama"			0	0
Geography Club		PG-13	6.6	57		Breaking Glass Pictures		"4,362"			5-Feb-14	84 min	Comedy			6400000	0
Koch		NOT RATED	6.3	71		Zeitgeist Films		277			8-Oct-12	100 min	"Documentary, Biography, History"			342212	0
The Stranger		NOT RATED	4.9	32		IFC Films		"2,330"			12-Jun-15	93 min	"Drama, Horror, Mystery"			0	0
Love in the Buff		NOT RATED	6.9	65		China Lion Films		"1,261"			30-Mar-12	112 min	"Comedy, Romance"			0	0
Head Games		PG-13	7.4	N/A		Variance Films		276			21-Sep-12	95 min	"Documentary, Sport"			14056	0
Hold Your Breath		R	3.2	N/A		The Asylum		"1,542"			5-Oct-12	87 min	Horror			0	0
Adhinayakudu		N/A	4.3	N/A		Movie Blue Sky		209			1-Jun-12	N/A	"Action, Drama"			0	0
Hava Nagila: The Movie		NOT RATED	5.6	59		International Film Circuit		204			17-Oct-13	75 min	"Documentary, Comedy, History"			369753	369753
I Give It a Year		R	5.7	50		Magnolia Pictures		"31,718"			8-Feb-13	97 min	"Comedy, Romance"			32514	0
The History of Future Folk		N/A	7.4	67		Variance Films		"2,267"			31-May-13	86 min	"Comedy, Music, Sci-Fi"			17646	0
The Source Family		TV-14	7	62		Independent Pictures		786			7-Mar-12	98 min	"Documentary, Music"			350000	0
Ghanchakkar		N/A	5.7	N/A		UTV Motion Pictures		"3,915"			3-Jul-13	137 min	"Comedy, Crime, Thriller"			203044	0
Maattrraan		N/A	5.9	N/A		Ficus		"3,782"			12-Oct-12	165 min	"Action, Sci-Fi, Thriller"			500000000	0
Back in the Day		R	5	7		Screen Media Films		"1,425"			17-Jan-14	94 min	Comedy			2000000	0
Tricked: The Documentary		N/A	6.1	61		Kino Lorber		"1,052"			13-Dec-13	76 min	"Documentary, Crime"			0	0
Yeto Vellipoyindhi Manasu		N/A	7.2	N/A		Independent Bollywood		536			13-Dec-12	153 min	"Drama, Romance"			0	0
Go for Sisters		UNRATED	6.3	59		Variance Films		410			11-Mar-13	123 min	"Crime, Drama, Thriller"			55963	0
Occupy Love		N/A	6.5	N/A		Independent		81			3-May-13	84 min	"Documentary, Drama"			0	0
Out of the Clear Blue Sky		NOT RATED	6.5	92		Area 23a		268			3-Aug-12	107 min	Documentary			16050	0
Free China: The Courage to Believe		N/A	7.8	N/A		N/A		368			31-May-13	61 min	"Documentary, Biography, History"			0	0
Female Zombie Riot		N/A	2.9	N/A		N/A		11			11-Apr-17	95 min	"Comedy, Horror"			0	"GBP50,000"
Smash & Grab: The Story of the Pink Panthers		N/A	6.1	66		Music Box Films		486			27-Sep-13	89 min	"Documentary, Crime, History"			18765	0
Doctored		N/A	7.4	43		Independent Pictures		92			21-Sep-12	96 min	Documentary			0	0
Sirphire		N/A	4.7	N/A		Answer Financials		45			10-Aug-12	N/A	Comedy			0	0
Soar Into the Sun		N/A	6.1	N/A		CJ Entertainment		"1,300"			24-Aug-12	113 min	"Action, Drama, Romance"			10000000	0
Manorama		N/A	6	N/A		N/A		11			27-Mar-09	N/A	Thriller			40000000	0
Pata Nahi Rabb Kehdeyan Rangan Ch Raazi		N/A	6.9	N/A		Independent Bollywood		43			17-Feb-12	153 min	"Comedy, Romance"			1000000	0
Aiyyaa		N/A	4.3	N/A		Viva Entertainment		"1,262"			12-Oct-12	152 min	"Comedy, Romance"			0	0
$ellebrity		NOT RATED	5.5	53		Independent Pictures		977			11-Jan-13	89 min	Documentary			0	0
Two Men in Town		R	5.6	56		Cohen Media Group		"1,552"			6-Mar-15	120 min	Drama			0	0
Eega		N/A	7.9	N/A		Ficus		"15,764"			5-Jul-12	145 min	"Action, Adventure, Comedy"			300000000	0
Wadjda		PG	7.6	81		Sony Pictures Classics		"14,804"			16-May-13	98 min	"Comedy, Drama"			1347578	0
This Binary Universe		NOT RATED	8.3	N/A		Indican Pictures		6			4-May-12	107 min	Documentary			0	0
Made in Cleveland		N/A	6.4	N/A		N/A		97			21-Jun-13	113 min	Comedy			9873	0
Taur Mittran Di		NOT RATED	6.4	N/A		Eros		49			11-May-12	N/A	"Action, Comedy, Drama"			30000000	0
The Pin		R	8.2	N/A		Main Street Films		21			N/A	85 min	Drama			0	0
More Than Honey		UNRATED	7.6	70		Kino Lorber		"3,371"			8-Nov-12	95 min	Documentary			71497	0
Blood Brother		NOT RATED	8.3	71		Animal		"1,461"			29-Apr-14	92 min	Documentary			121160	0
Ishq		N/A	7.3	N/A		N/A		"1,139"			23-Feb-12	160 min	"Comedy, Romance"			0	0
Drinking Buddies		R	6.1	71		Magnolia Pictures		"49,340"			25-Jul-13	90 min	"Comedy, Drama, Romance"			342936	0
The Lifeguard		R	5.7	34		Screen Media Films		"12,340"			30-Jul-13	98 min	"Drama, Romance"			0	0
Vulgaria		NOT RATED	6.4	52		China Lion		"1,125"			9-Aug-12	93 min	Comedy			0	0
Stranded		N/A	3.5	27		RLJ Entertainment		"3,516"			26-Jul-13	84 min	"Horror, Sci-Fi"			2000000	0
808		N/A	7.1	N/A		You Know Films		198			20-Mar-15	107 min	"Documentary, Music"			0	0
Museum Hours		N/A	6.9	84		Cinema Guild		"1,672"			6-Sep-13	107 min	Drama			83725	0
Thaandavam		NOT RATED	6.1	N/A		UTV Motion Pictures		"1,215"			28-Sep-12	160 min	"Action, Thriller"			212145	0
Ghost Team One		R	4.5	21		The Film Arcade		"1,979"			20-Jan-13	84 min	"Comedy, Horror"			0	0
Flying Home		NOT RATED	6.2	N/A		N/A		"3,855"			2-Apr-14	95 min	"Drama, Romance"			0	0
A Perfect Man		R	5.2	31		IFC Films		"1,620"			31-Oct-13	95 min	"Drama, Romance"			5000000	388
Bill W.		UNRATED	7.6	69		Independent Pictures		147			18-May-12	104 min	"Documentary, Biography, History"			0	0
Gori Tere Pyaar Mein!		N/A	5	N/A		Reliance Entertainment		"2,850"			22-Nov-13	150 min	"Comedy, Drama, Romance"			325885	0
Satyagraha		N/A	6	N/A		UTV		"4,172"			30-Aug-13	152 min	Drama			738525	0
Kamaal Dhamaal Malamaal		N/A	4.1	N/A		Applied Art Productions		592			28-Sep-12	148 min	"Comedy, Drama"			0	0
Gregory Crewdson: Brief Encounters		NOT RATED	7.3	87		Zeitgeist Films		458			31-Oct-12	78 min	"Documentary, Biography, Drama"			58978	0
Our Nixon		N/A	6.6	72		Cinedigm		507			9-Mar-13	84 min	"Documentary, Biography, Crime"			19249	0
OMG: Oh My God!		NOT RATED	8.2	N/A		Viva Entertainment		"35,465"			28-Sep-12	125 min	"Comedy, Drama, Family"			923221	0
Ra Cha		N/A	4.3	N/A		Hari Venkateswara Pictures		"1,782"			5-Apr-12	143 min	Action			0	0
Rocky Mountain Express		N/A	7.8	N/A		Stephen Low Films		127			30-Sep-11	46 min	Documentary			0	0
Justice Is Mind		N/A	7.5	N/A		Affidavit Productions LLC		78			13-Sep-14	153 min	"Crime, Drama, Mystery"			25000	335
100 Bloody Acres		NOT RATED	6	63		Doppelganger Releasing		"2,991"			1-Aug-13	91 min	"Comedy, Horror"			6248	0
Big Star: Nothing Can Hurt Me		PG-13	7.1	69		Magnolia Pictures		"1,033"			15-Mar-12	113 min	"Documentary, Music"			105030	0
Masquerade		NOT RATED	7.8	N/A		CJ Entertainment America		"4,342"			13-Sep-12	131 min	"Drama, History"			922921	0
Chakravyuh		N/A	6.9	N/A		Eros International		"2,606"			24-Oct-12	152 min	"Drama, Thriller, War"			0	0
Rubberneck		NOT RATED	5.3	57		Tribeca Film		390			N/A	83 min	"Drama, Thriller"			0	0
The Canyons		R	3.9	36		IFC Films		"9,082"			2-Aug-13	99 min	"Drama, Thriller"			250000	49494
Dhammu		N/A	5.3	N/A		Ficus		"1,372"			27-Apr-12	155 min	"Action, Drama"			0	0
Informant		N/A	6.1	70		Music Box Films		291			13-Sep-13	81 min	Documentary			0	0
Mansome		PG-13	5.4	35		Paladin Films		"2,670"			24-Nov-12	82 min	Documentary			18395	0
Zero Charisma		NOT RATED	6.3	63		Tribeca Film		"2,271"			8-Oct-13	86 min	"Comedy, Drama"			0	0
Tai Chi Hero		N/A	6.2	39		Well Go USA		"2,879"			25-Oct-12	100 min	"Action, Adventure"			40000000	35067
Concussion		R	5.7	56		Radius-TWC		"3,299"			5-Dec-13	96 min	Drama			38361	0
Pieta		N/A	7.2	72		Drafthouse Films		"9,981"			6-Sep-12	104 min	"Crime, Drama"			0	"EU103,000"
A.K.A. Doc Pomus		N/A	8.6	83		Clear Lake Historical Productions		62			19-Oct-12	98 min	"Documentary, Biography, Music"			0	0
Shootout at Wadala		N/A	5.9	N/A		Eros Entertainment		"5,020"			3-May-13	155 min	"Action, Biography, Crime"			260000000	369310
The Selfish Giant		N/A	7.3	83		Sundance Selects		"9,488"			25-Oct-13	91 min	Drama			10531	0
Art Is... The Permanent Revolution		NOT RATED	6.6	N/A		First Run Features		15			2-Mar-12	82 min	Documentary			0	0
Daruvu		N/A	4.9	N/A		Movie Blue Sky		373			25-May-12	159 min	"Action, Comedy, Fantasy"			0	0
Death by China		NOT RATED	6.1	43		Area23A		299			17-Aug-12	78 min	"Documentary, Drama, History"			37412	0
Gabbar Singh		N/A	7.1	N/A		Bluesky Cinemas		"4,414"			11-May-12	153 min	"Action, Comedy"			300000000	0
Mr. Nookayya		N/A	5.9	N/A		N/A		180			8-Mar-12	N/A	"Action, Comedy"			0	0
They Come to America		NOT RATED	6	N/A		Corinth Films		239			31-Mar-12	99 min	Documentary			0	0
The Haunting of Alice D		N/A	3.9	N/A		N/A		311			3-May-16	85 min	"Horror, Thriller"			0	0
Sound City		NOT RATED	7.8	76		Variance Films		"10,576"			18-Jan-13	107 min	"Documentary, Music"			422417	0
We Are What We Are		R	5.9	71		Entertainment One		"16,625"			25-Oct-13	105 min	"Drama, Horror, Thriller"			76633	0
Double Trouble		N/A	4.6	N/A		China Lion		108			8-Jun-12	87 min	"Action, Comedy"			0	0
Singam 2		N/A	6.3	N/A		ATMUS		"4,375"			4-Jul-13	166 min	"Action, Thriller"			450000000	12331200
The Gatekeepers		PG-13	7.6	91		Sony Pictures Classics		"4,876"			14-Mar-13	101 min	"Documentary, History, War"			2415727	0
Reincarnated		R	6.2	42		AEC		"1,902"			22-Mar-13	96 min	"Documentary, Music"			0	0
Afternoon Delight		R	5.8	50		The Film Arcade		"7,996"			11-Dec-13	98 min	"Comedy, Drama"			174496	0
Molly's Theory of Relativity		NOT RATED	5.2	40		Adopt Films		31			1-Mar-13	102 min	Drama			0	0
A Werewolf Boy		NOT RATED	7.4	N/A		CJ Entertainment		"4,286"			30-Nov-12	122 min	"Fantasy, Romance"			342922	0
Una		N/A	6.6	68		Swen Releasing		"2,319"			1-Sep-17	94 min	Drama			0	0
Andala Rakshasi		N/A	7	N/A		Ficus		341			10-Aug-12	N/A	Romance			0	0
Vicky Donor		NOT RATED	7.8	N/A		Eros Entertainment		"30,720"			20-Apr-12	126 min	"Comedy, Romance"			169209	0
Hell Baby		R	4.8	41		Millenium Entertainment		"7,824"			1-Mar-14	98 min	"Comedy, Horror"			2500000	4980
Jannat 2		R	6.1	N/A		20th Century Fox		"4,205"			4-May-12	150 min	"Crime, Drama, Thriller"			0	0
ABCD (Any Body Can Dance)		NOT RATED	6.4	N/A		UTV Motion Pictures		"5,254"			8-Feb-13	160 min	"Drama, Musical"			95236	0
Decoding Deepak		NOT RATED	5.5	48		Independent Pictures		105			8-Apr-14	83 min	Documentary			9050	0
State 194		PG	5.8	63		Participant Media		39			17-May-13	98 min	Documentary			0	0
Alienate		TV-MA	2.6	N/A		N/A		422			23-Feb-16	90 min	"Drama, Horror, Sci-Fi"			0	0
Hellbound?		NOT RATED	6.2	53		Area23A		248			21-Sep-12	84 min	Documentary			338663	19105
In the Fog		N/A	6.8	78		Strand Releasing		"2,224"			15-Nov-12	127 min	"Drama, History, War"			11654	"<optionvalue=""Grossmeier"">Grossmeier</option>"
As One		N/A	7.2	N/A		CJ Entertainment		775			3-May-12	127 min	"Drama, Sport"			0	0
Space Warriors		PG	4.5	N/A		Arc Entertainment		"1,025"			26-Apr-13	93 min	"Adventure, Family"			0	0
Honor Flight		PG	8.2	61		Independent Pictures		124			11-Aug-12	82 min	"Documentary, History, War"			0	0
The Thieves		NOT RATED	6.8	75		Well Go USA		"6,936"			25-Jul-12	135 min	"Action, Comedy, Crime"			685839	0
Leviathan		NOT RATED	6.5	81		Cinema Guild		"2,664"			28-Aug-13	87 min	Documentary			1092800	0
Fateful Findings		N/A	4.5	N/A		N/A		"1,819"			14-Jan-14	100 min	"Drama, Fantasy, Thriller"			0	0
The Zero Theorem		R	6.1	50		Amplify Releasing		"38,198"			19-Aug-14	107 min	"Comedy, Drama, Fantasy"			8500000	219438
The Dirties		NOT RATED	6.8	65		Phase 4 Films		"4,872"			6-Jun-14	83 min	"Crime, Drama, Thriller"			10000	0
Look & See: A Portrait of Wendell Berry		N/A	7.4	N/A		Two Birds Film		17			11-Mar-16	82 min	Documentary			0	0
Bottom of the World		NOT RATED	5.5	N/A		N/A		"2,355"			1-Mar-17	85 min	"Drama, Mystery, Thriller"			0	0
Big Words		N/A	6	82		AAFFRM LLC.		256			1-Sep-14	93 min	"Comedy, Drama"			7371	0
Nautanki Saala!		N/A	5.9	N/A		Viva Entertainment		"3,468"			12-Apr-13	119 min	Comedy			0	0
Neethaane En Ponvasantham		N/A	6.5	N/A		N/A		"1,188"			14-Dec-12	153 min	Romance			0	0
No Place on Earth		PG-13	7	58		Magnolia Pictures		777			9-May-13	83 min	"Documentary, War"			199659	0
Sexy Baby		N/A	6.1	52		Two To Tangle Productions		"1,062"			23-Dec-14	84 min	Documentary			0	0
Kadal		N/A	5.6	N/A		Independent Bollywood		"1,181"			1-Feb-13	165 min	"Drama, Romance"			500000000	0
Himmatwala		NOT RATED	1.8	N/A		UTV Motion Pictures		"6,555"			29-Mar-13	150 min	"Action, Comedy, Drama"			10000000	270880
Parkland		PG-13	6.3	51		Exclusive Releasing		"12,652"			2-Oct-13	93 min	"Drama, History, Mystery"			10000000	652355
Pavilion		N/A	6.6	78		Independent Pictures		51			12-Mar-12	68 min	Drama			0	0
Silent Night		R	5.2	53		Anchor Bay Films		"6,070"			4-Dec-12	94 min	"Comedy, Horror, Mystery"			9672	0
Frances Ha		R	7.4	82		IFC Films		"49,322"			23-Aug-13	86 min	"Comedy, Drama, Romance"			4063238	0
Grace Unplugged		PG	6.2	39		Roadside Attractions		"2,737"			4-Oct-13	102 min	"Drama, Music"			2507106	0
Free Angela and All Political Prisoners		NOT RATED	6.9	73		LionsGate/CodeBlack Films		443			5-Apr-13	102 min	Documentary			0	0
Revolution		PG	7.6	53		Revolutionary Films Inc.		343			22-Apr-15	85 min	"Documentary, Adventure, Family"			0	0
Flu		N/A	6.8	40		CJ Entertainment		"3,925"			15-Aug-13	122 min	"Drama, Thriller"			0	0
Brick Madness		N/A	N/A	N/A		N/A		N/A			N/A	N/A	Comedy			250000	0
Off Label		NOT RATED	5.2	44		Oscilloscope		59			9-Aug-13	80 min	"Documentary, Drama, History"			0	0
Cutie and the Boxer		R	7.2	83		Radius		"4,049"			1-Nov-13	82 min	"Documentary, Biography"			200036	0
Unmade in China		N/A	8.5	53		Seventh Art Releasing		25			18-Nov-12	87 min	"Documentary, Comedy"			0	0
Bhaag Milkha Bhaag		NOT RATED	8.3	N/A		Reliance Entertainment		"47,637"			12-Jul-13	186 min	"Biography, Drama, History"			1626289	0
Cold Turkey		N/A	4.3	42		FilmBuff		166			15-Nov-13	84 min	"Comedy, Drama"			0	0
The Berlin File		NOT RATED	6.6	54		CJ Entertainment		"5,198"			15-Feb-13	120 min	"Action, Drama, Thriller"			9000000	665210
Zanjeer		N/A	3.2	N/A		Reliance Media		"1,863"			6-Sep-13	137 min	"Action, Thriller"			16000000	0
Ramaiya Vastavaiya		N/A	5.7	N/A		Reliance Big Entertainment		"2,717"			19-Jul-13	148 min	"Comedy, Drama, Romance"			0	0
Linsanity		PG	7.4	52		Ketchup Entertainment		"1,768"			2-Oct-13	89 min	"Documentary, Biography, Sport"			302645	0
Catimini		N/A	7.2	N/A		N/A		93			25-Jan-13	111 min	Drama			0	0
Raanjhanaa		NOT RATED	7.6	N/A		Eros Enteertainment		"23,301"			21-Jun-13	140 min	"Drama, Romance"			350000000	875051
The Summit		R	6.9	63		IFC Films		"3,520"			22-Nov-13	95 min	"Documentary, Adventure"			1000000	218454
Touchy Feely		R	5.3	55		Magnolia Pictures		"3,137"			1-Mar-14	89 min	Drama			35022	0
Immigrant		N/A	5.9	32		Buffalo 8 Productions		75			1-Nov-13	88 min	Drama			165000	0
"Where'd You Go, Bernadette"		N/A	N/A	N/A		N/A		N/A			11-May-18	N/A	"Comedy, Drama"			0	0
Stories We Tell		PG-13	7.6	91		Roadside Attractions		"10,214"			17-Jan-13	108 min	Documentary			1599038	0
Mugamoodi		NOT RATED	5	N/A		UTV Motion Pictures		672			31-Aug-12	150 min	"Action, Drama"			200000000	68677
R... Rajkumar		N/A	5.2	N/A		Eros Entertainment		"4,152"			6-Dec-13	146 min	"Action, Romance"			400000000	0
Bounty Killer		R	5.5	46		Arc Entertainment		"5,952"			6-Sep-13	92 min	"Action, Sci-Fi, Thriller"			0	0
Short Term 12		R	8	82		Cinedigm		"63,755"			23-Aug-13	96 min	Drama			1010414	0
